Year,County,Population,Total Index Crime Rates per 100K,Unemployment Rate,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,HTIS per 100K,Arson per 100K,Percent of Meth Arrests,Percent Needle/Syringe Arrests,Percent Controlled Substance Arrests,HTS Per 100K,Percent of Paraphernalia Drug Arrests,Battery/Assault Per 100K,Sexual Assault Per 100k,Percent Cannabis Arrests,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k
2015,WARREN,17874,1493.8,5.2,4.35405328,4.955600115,0.813520481,0.824978516,0.063019192,0.085935262,0.939558866,1.426525351,0.189057577,0.292179891,1.208822687,1.60985391,45.91807505,47.413348611,49.372672587,0,5.594718586,0,1.063829787,10.638297872,0,0.393617021,173.436276155,50.352467271,48.936170213,16.784155757,945.507440976,279.735929283,22.378874343,0
2015,WASHINGTON,14337,1646.1,3.8,0.729210489,0.715187211,0.420698359,0.610012621,0.007011639,0.014023279,0.252419016,0.196325901,0.077128033,0.119197868,0.350581966,0.51184967,49.305847707,48.716870004,50.175290983,0,6.974959894,9.090909091,3.03030303,24.242424242,0,0.333333333,551.021831624,0,30.303030303,48.824719258,823.04526749,216.223756713,0,0
2015,WAYNE,16543,997.4,6.8,0.672034873,0.690197978,0.429860144,0.514621299,0.012108736,0.006054368,0.351153357,0.254283466,0.133196101,0.127141733,0.314827148,0.284555307,48.640794333,49.397590361,49.361264152,0,0,27.835051546,1.030927835,17.525773196,0,0.237113402,163.211025812,30.224264039,29.896907216,18.134558424,586.35072236,199.480142659,0,0
2015,WHITE,14374,1266.2,5.7,0.563221628,0.760349197,0.429456491,0.464657843,0.014080541,0.035201352,0.260490003,0.126724866,0.154885948,0.232328921,0.168966488,0.478738384,47.880878626,50.183047029,48.7890735,0,20.871017114,13.888888889,2.777777778,22.222222222,0,0.222222222,215.667176847,6.957005705,38.888888889,62.613051343,695.700570474,264.36621678,0,0
2015,WHITESIDE,56876,1716,6.2,5.737978531,6.048946749,0.820464168,0.776542104,0.012298178,0.017568826,0.296913157,0.216096558,0.187986437,0.267046153,0.781812751,0.95047348,47.927756988,48.474147473,49.426377835,0,3.516421689,0,2.573529412,27.205882353,0,0.213235294,109.009072368,52.746325339,48.897058824,31.647795204,1186.792320135,314.719741191,17.582108446,0
2015,WILL,685419,1488.3,6.2,8.117490454,8.496129773,0.906576544,0.919261034,0.024931584,0.026097974,2.852260682,2.608922591,0.205138822,0.222197274,6.004866762,5.788938833,40.92658013,40.366712982,49.639512624,0,12.109381269,0.212370587,3.74303159,18.184231484,0,0.315104858,91.185099917,23.926970218,46.349880542,52.230825232,999.09690277,273.847092071,33.26432445,2.626130878
2015,WILLIAMSON,67008,1158.1,6.1,1.118229816,1.43708845,0.852761464,0.796405054,0.010381444,0.011864507,0.665895474,0.452334342,0.155721659,0.246188527,1.730735006,2.632437563,46.314587412,46.88704989,49.697455063,0,4.477077364,10.126582278,1.898734177,37.974683544,0,0.139240506,41.786055396,19.400668577,36.075949367,67.156160458,702.901146132,305.933619866,11.93887297,4.477077364
2015,WINNEBAGO,288542,3802.2,7,5.955465474,6.140735788,1.32022511,1.318832101,0.024725925,0.024725925,1.405895218,1.324752392,0.261537604,0.267457896,6.796146935,6.305110953,40.852452394,41.34418488,48.847284327,0,23.566759778,0.129785853,4.996755354,24.529526282,0,0.239454899,661.948693778,68.274289358,46.39844257,214.180257987,1952.921931643,678.584053621,195.118908166,7.624539928
2015,WOODFORD,39187,653.3,5,0.775751349,0.935011559,0.606216286,0.56768559,0.015412278,0.015412278,0.380169535,0.321089134,0.13357308,0.131004367,0.26714616,0.321089134,48.856922682,48.923709222,49.67377344,0,0,0,0.331125828,19.536423841,0,0.364238411,61.244800572,12.759333452,43.708609272,15.311200143,474.64720443,89.315334167,0,0
2017,ADAMS,68040,2436.8,3.9,0.731186702,0.835641946,0.935555656,0.950694098,0.016652285,0.013624597,0.499568554,0.376947182,0.11051062,0.157439787,1.860514404,2.020981879,46.649106075,47.321252857,49.255945623,0,10.288065844,40.277777778,1.851851852,19.675925926,0,0.310185185,276.308054086,91.122868901,7.175925926,67.60728983,1568.195179306,393.885949442,29.394473839,0
2017,ALEXANDER,8316,1370.9,8.3,0.923861102,0.764574705,1.369863014,1.06721886,0.079643198,0.079643198,0.159286397,0.095571838,0.175215037,0.270786875,17.967505575,15.418923224,31.857279388,32.462567697,47.785919083,0,12.025012025,20,0,60,0,0,300.625300625,0,20,24.05002405,733.525733526,300.625300625,0,0
2017,BOND,17781,686.1,4.4,1.009130226,2.474771744,0.654733301,0.78087458,0.006006728,0.018020183,0.216242191,0.492551658,0.276309467,0.378423835,1.513695339,4.541086016,46.630225853,45.182604517,52.150408457,0,0,30.841121495,5.607476636,28.971962617,0,0.289719626,39.367864575,5.623980654,5.607476636,33.743883921,562.398065351,44.991845228,0,0
